A,abs_l,abs_s,C_air,C_chl,carbon_balance,E,E_q,f_par,g_mc,g_mc25,g_sc,g_sw,g_uc,g_uw,gamma_star,gamma_star25,H,J_max,J_max25,K_C,K_C25,k_mc,K_O,K_O25,k_sc,k_uc,L,leafsize,logit_sr,O,P,phi_J,PPFD,r,R_abs,R_d,R_d25,RH,S_r,S_sw,T_air,T_leaf,theta_J,V_cmax,V_cmax25,V_tpu,V_tpu25,wind,H2O,SR,i
8.18925387931641,0.97,0.8,41,25.4452854345422,6451.12022985186,0.00163354117829157,220,0.5,2.74873898275445,2.71828182845905,0.558749320533849,0.918254697311442,0.1,0.164341085271318,3.76906154611404,3.743,10.1536237029877,113.920638239771,112.5,27.8710247705451,27.238,1,16.6939514804374,16.582,0.295013206925101,1,71.8445686162912,0.0497870683678639,-1.2207351544068,21.27565,101.3246,0.331,227.25120893533,0.2,953.656103457646,2.02307939026775,2,0.5,871.657910931968,99.9905319315452,298.15,298.359809926105,0.825,76.1198286703016,75,202.986209787471,200,2.71828182845905,1000,500,1
8.08709767760675,0.97,0.8,41,24.8199078471884,6388.82615391951,0.00164691638115228,220,0.5,2.74732655601912,2.71828182845905,0.58063324078982,0.954218969360015,0.1,0.164341085271318,3.76784048682349,3.743,9.67924208781734,113.854164902759,112.5,27.8411387447073,27.238,1,16.6887067519055,16.582,0.0568802747536746,1,72.4335180656003,0.0497870683678639,-2.86680666308963,21.27565,101.3246,0.331,227.25120893533,0.2,953.656103457646,2.02199571745961,2,0.5,871.54334309594,99.9905319315452,298.15,298.350005585924,0.825,76.0671643235036,75,202.845771529343,200,2.71828182845905,1000,1000,2
8.04797155854013,0.97,0.8,41,24.5820768192908,6383.37978650422,0.0016645249852552,220,0.5,2.74546537322078,2.71828182845905,0.596784638596521,0.980762351802034,0.1,0.164341085271318,3.76623338697965,3.743,9.05468288375234,113.76666219972,112.5,27.8018382899321,27.238,1,16.6818038126493,16.582,4.53999297624848e-05,1,73.2088938714661,0.0497870683678639,-10,21.27565,101.3246,0.331,227.25120893533,0.2,953.656103457646,2.02056978895793,2,0.5,871.39252649019,99.9905319315452,298.15,298.337097720897,0.825,75.9978795741646,75,202.661012197772,200,2.71828182845905,1000,1500,3
11.9599034639429,0.97,0.8,41,23.6841045236735,9351.14609795802,0.00240048027653569,220,0.5,2.83092253068446,2.71828182845905,0.825932225154184,1.35734598242393,0.1,0.164341085271318,3.84251958638669,3.743,38.4527026691469,117.900987124466,112.5,29.7104722626462,27.238,1,17.0093765908777,16.582,0.442769778964232,1,105.514638019952,0.0497870683678639,-0.814705330331724,21.27565,101.3246,0.331,412.010804637984,0.2,1022.48425519992,2.08869360159434,2,0.5,878.516914327146,181.284754040713,298.15,298.945027973454,0.825,79.3237700937452,75,211.530053583321,200,2.71828182845905,1000,500,4
11.8101521935071,0.97,0.8,41,23.1112809708433,9190.67744024846,0.00238186924833422,220,0.5,2.83278438140578,2.71828182845905,0.833502013118317,1.36978625411692,0.1,0.164341085271318,3.84424504751899,3.743,39.1118310148108,117.993990283384,112.5,29.7546698217192,27.238,1,17.0167834272981,16.582,0.209865346230167,1,104.695177489305,0.0497870683678639,-1.56128916235449,21.27565,101.3246,0.331,412.010804637984,0.2,1022.48425519992,2.09024475682118,2,0.5,878.677246510029,181.284754040713,298.15,298.958666649091,0.825,79.3998725178285,75,211.732993380876,200,2.71828182845905,1000,1000,5
11.6757487612435,0.97,0.8,41,22.6292732074615,9104.70115049225,0.0024018694857955,220,0.5,2.83078344746805,2.71828182845905,0.86309968653172,1.41842739181957,0.1,0.164341085271318,3.84239081290825,3.743,38.4035008682456,117.894045179144,112.5,29.7071755782461,27.238,1,17.0088238047073,16.582,0.0863831117419676,1,105.575807049435,0.0497870683678639,-2.44896308822754,21.27565,101.3246,0.331,412.010804637984,0.2,1022.48425519992,2.08857785505161,2,0.5,878.504947101268,181.284754040713,298.15,298.944009905136,0.825,79.3180920241038,75,211.514912064277,200,2.71828182845905,1000,1500,6
12.9926110403401,0.97,0.8,41,23.1692593542441,10092.498109226,0.00266449995545473,220,0.5,2.88370732878094,2.71828182845905,0.88970216588722,1.46214619510148,0.1,0.164341085271318,3.892700711524,3.743,57.5192400804689,120.595008656042,112.5,31.0146896658374,27.238,1,17.2247467341984,16.582,0.475543772846746,1,117.074440326752,0.0497870683678639,-0.743296344773595,21.27565,101.3246,0.331,506.543911914558,0.2,1057.75913199816,2.13399102496556,2,0.5,883.165451464772,222.879321242406,298.15,299.339701111954,0.825,81.5528947521386,75,217.474386005703,200,2.71828182845905,1000,500,7
12.8316630528964,0.97,0.8,41,22.6196992294985,9905.52164541875,0.00263731159167428,220,0.5,2.88630866683526,2.71828182845905,0.893114556346487,1.46775415461593,0.1,0.164341085271318,3.89524688880827,3.743,58.4810462287909,120.73107272534,112.5,31.0819110716024,27.238,1,17.2356723113713,16.582,0.24499436163501,1,115.877555964353,0.0497870683678639,-1.40652008243688,21.27565,101.3246,0.331,506.543911914558,0.2,1057.75913199816,2.13629963585002,2,0.5,883.400529673107,222.879321242406,298.15,299.359618449554,0.825,81.6668760569597,75,217.778336151892,200,2.71828182845905,1000,1000,8
12.6852023547307,0.97,0.8,41,22.1568649385152,9794.86241507929,0.00264987619207707,220,0.5,2.88510729707465,2.71828182845905,0.918835043392828,1.51002348216496,0.1,0.164341085271318,3.89407006994298,3.743,58.036575560216,120.668193202641,112.5,31.050829353242,27.238,1,17.230622640629,16.582,0.118772663975437,1,116.430668159025,0.0497870683678639,-2.1305439997478,21.27565,101.3246,0.331,506.543911914558,0.2,1057.75913199816,2.13523249528738,2,0.5,883.291888150754,222.879321242406,298.15,299.350414135208,0.825,81.6141844621425,75,217.63782523238,200,2.71828182845905,1000,1500,9
13.8413719598722,0.97,0.8,41,22.7601350497076,10650.6208943812,0.0029332868096209,220,0.5,2.94483528978882,2.71828182845905,0.939624078244885,1.54418840765826,0.1,0.164341085271318,3.95469639861341,3.743,80.7861256791563,123.888522384096,112.5,32.6805048061057,27.238,1,17.4907074250414,16.582,0.500290076182349,1,128.823585773273,0.0497870683678639,-0.69256719641857,21.27565,101.3246,0.331,615.53453033662,0.2,1098.47768637469,2.19048226487702,2,0.5,888.867974848677,270.835193348113,298.15,299.821738178097,0.825,84.3522552304756,75,224.939347281268,200,2.71828182845905,1000,500,10
